maladie,symptomes,specialite_medicale
Appendicite - cas 67,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 68,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 69,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Tuberculose - cas 70,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Appendicite - cas 71,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 72,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 73,"essoufflement, toux, respiration sifflante",Pneumologie
Appendicite - cas 74,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 75,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 76,"troubles visuels, faiblesse, engourdissements",Neurologie
Bronchite chronique - cas 77,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 78,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 79,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 80,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 81,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 82,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Migraine - cas 83,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 84,"toux grasse, essoufflement, fatigue",Pneumologie
Sclérose en plaques - cas 85,"troubles visuels, faiblesse, engourdissements",Neurologie
Tuberculose - cas 86,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Arthrose - cas 87,"douleurs articulaires, raideur, gonflement",Rhumatologie
Diabète de type 2 - cas 88,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hypertension - cas 89,"maux de tête, vertiges, vision floue",Cardiologie
Asthme - cas 90,"essoufflement, toux, respiration sifflante",Pneumologie
Diabète de type 2 - cas 91,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Arthrose - cas 92,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 93,"essoufflement, toux, respiration sifflante",Pneumologie
Diabète de type 2 - cas 94,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Grippe - cas 95,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 96,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 97,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 98,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 99,"toux grasse, essoufflement, fatigue",Pneumologie
Bronchite chronique - cas 100,"toux grasse, essoufflement, fatigue",Pneumologie
Appendicite - cas 101,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 102,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Cirrhose hépatique - cas 103,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 104,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 105,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 106,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 107,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hypertension - cas 108,"maux de tête, vertiges, vision floue",Cardiologie
Hypertension - cas 109,"maux de tête, vertiges, vision floue",Cardiologie
Tuberculose - cas 110,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Dermatite atopique - cas 111,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hypertension - cas 112,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 113,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 114,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Migraine - cas 115,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 116,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hépatite B - cas 117,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 118,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 119,"douleurs articulaires, raideur, gonflement",Rhumatologie
Dermatite atopique - cas 120,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 121,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 122,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 123,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 124,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 125,"fièvre, toux, fatigue, maux de tête",Médecine générale
Grippe - cas 126,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 127,"démangeaisons, rougeurs, peau sèche",Dermatologie
Sclérose en plaques - cas 128,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 129,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 130,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 131,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Bronchite chronique - cas 132,"toux grasse, essoufflement, fatigue",Pneumologie
Asthme - cas 133,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 134,"fièvre, toux, fatigue, maux de tête",Médecine générale
Cirrhose hépatique - cas 135,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Migraine - cas 136,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Dermatite atopique - cas 137,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hypertension - cas 138,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 139,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 140,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 141,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Tuberculose - cas 142,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 143,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Dermatite atopique - cas 144,"démangeaisons, rougeurs, peau sèche",Dermatologie
Dermatite atopique - cas 145,"démangeaisons, rougeurs, peau sèche",Dermatologie
Asthme - cas 146,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 147,"fièvre, toux, fatigue, maux de tête",Médecine générale
Tuberculose - cas 148,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 149,"essoufflement, toux, respiration sifflante",Pneumologie
Hépatite B - cas 150,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 151,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Appendicite - cas 152,"douleur abdominale, nausée, fièvre",Chirurgie générale
Appendicite - cas 153,"douleur abdominale, nausée, fièvre",Chirurgie générale
Cirrhose hépatique - cas 154,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Grippe - cas 155,"fièvre, toux, fatigue, maux de tête",Médecine générale
Grippe - cas 156,"fièvre, toux, fatigue, maux de tête",Médecine générale
Anémie - cas 157,"fatigue, pâleur, essoufflement",Hématologie
Hépatite B - cas 158,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 159,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Tuberculose - cas 160,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 161,"maux de tête, vertiges, vision floue",Cardiologie
Hypertension - cas 162,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 163,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 164,"essoufflement, toux, respiration sifflante",Pneumologie
Cirrhose hépatique - cas 165,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 166,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Asthme - cas 167,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 168,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 169,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 170,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 171,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Migraine - cas 172,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Anémie - cas 173,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 174,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 175,"démangeaisons, rougeurs, peau sèche",Dermatologie
Appendicite - cas 176,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 177,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Appendicite - cas 178,"douleur abdominale, nausée, fièvre",Chirurgie générale
Asthme - cas 179,"essoufflement, toux, respiration sifflante",Pneumologie
Maladie de Crohn - cas 180,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 181,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 182,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 183,"fatigue, pâleur, essoufflement",Hématologie
Sclérose en plaques - cas 184,"troubles visuels, faiblesse, engourdissements",Neurologie
Tuberculose - cas 185,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 186,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Migraine - cas 187,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 188,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hépatite B - cas 189,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 190,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 191,"maux de tête, vertiges, vision floue",Cardiologie
Tuberculose - cas 192,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 193,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 194,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 195,"toux grasse, essoufflement, fatigue",Pneumologie
Diabète de type 2 - cas 196,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Diabète de type 2 - cas 197,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Dermatite atopique - cas 198,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 199,"fièvre, toux, fatigue, maux de tête",Médecine générale
Diabète de type 2 - cas 200,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Maladie de Crohn - cas 201,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 202,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 203,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 204,"troubles visuels, faiblesse, engourdissements",Neurologie
Appendicite - cas 205,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 206,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hypertension - cas 207,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 208,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 209,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 210,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 211,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Anémie - cas 212,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 213,"maux de tête, vertiges, vision floue",Cardiologie
Asthme - cas 214,"essoufflement, toux, respiration sifflante",Pneumologie
Dermatite atopique - cas 215,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 216,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 217,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Appendicite - cas 218,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 219,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hépatite B - cas 220,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 221,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 222,"fatigue, pâleur, essoufflement",Hématologie
Arthrose - cas 223,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 224,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 225,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 226,"fatigue, pâleur, essoufflement",Hématologie
Anémie - cas 227,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 228,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 229,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 230,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 231,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 232,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 233,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 234,"douleur abdominale, nausée, fièvre",Chirurgie générale
Migraine - cas 235,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Migraine - cas 236,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Grippe - cas 237,"fièvre, toux, fatigue, maux de tête",Médecine générale
Bronchite chronique - cas 238,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 239,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hépatite B - cas 240,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Asthme - cas 241,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 242,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 243,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hépatite B - cas 244,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Cirrhose hépatique - cas 245,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 246,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 247,"maux de tête, vertiges, vision floue",Cardiologie
Sclérose en plaques - cas 248,"troubles visuels, faiblesse, engourdissements",Neurologie
Asthme - cas 249,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 250,"douleurs articulaires, raideur, gonflement",Rhumatologie
Bronchite chronique - cas 251,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 252,"démangeaisons, rougeurs, peau sèche",Dermatologie
Bronchite chronique - cas 253,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 254,"fatigue, pâleur, essoufflement",Hématologie
Tuberculose - cas 255,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Arthrose - cas 256,"douleurs articulaires, raideur, gonflement",Rhumatologie
Anémie - cas 257,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 258,"maux de tête, vertiges, vision floue",Cardiologie
Migraine - cas 259,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Anémie - cas 260,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 261,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 262,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 263,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Arthrose - cas 264,"douleurs articulaires, raideur, gonflement",Rhumatologie
Migraine - cas 265,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 266,"toux grasse, essoufflement, fatigue",Pneumologie
Hépatite B - cas 267,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 268,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 269,"fatigue, pâleur, essoufflement",Hématologie
Hépatite B - cas 270,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Migraine - cas 271,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Arthrose - cas 272,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 273,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Migraine - cas 274,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Migraine - cas 275,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 276,"toux grasse, essoufflement, fatigue",Pneumologie
Hépatite B - cas 277,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Bronchite chronique - cas 278,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 279,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Appendicite - cas 280,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 281,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 282,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Bronchite chronique - cas 283,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 284,"démangeaisons, rougeurs, peau sèche",Dermatologie
Anémie - cas 285,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 286,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 287,"fièvre, toux, fatigue, maux de tête",Médecine générale
Asthme - cas 288,"essoufflement, toux, respiration sifflante",Pneumologie
Maladie de Crohn - cas 289,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 290,"essoufflement, toux, respiration sifflante",Pneumologie
Asthme - cas 291,"essoufflement, toux, respiration sifflante",Pneumologie
Cirrhose hépatique - cas 292,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 293,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 294,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 295,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Dermatite atopique - cas 296,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 297,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hypertension - cas 298,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 299,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hypertension - cas 300,"maux de tête, vertiges, vision floue",Cardiologie
Hypertension - cas 301,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 302,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hépatite B - cas 303,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Arthrose - cas 304,"douleurs articulaires, raideur, gonflement",Rhumatologie
Arthrose - cas 305,"douleurs articulaires, raideur, gonflement",Rhumatologie
Grippe - cas 306,"fièvre, toux, fatigue, maux de tête",Médecine générale
Diabète de type 2 - cas 307,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Appendicite - cas 308,"douleur abdominale, nausée, fièvre",Chirurgie générale
Cirrhose hépatique - cas 309,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 310,"douleur abdominale, nausée, fièvre",Chirurgie générale
Appendicite - cas 311,"douleur abdominale, nausée, fièvre",Chirurgie générale
Cirrhose hépatique - cas 312,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 313,"douleur abdominale, nausée, fièvre",Chirurgie générale
Migraine - cas 314,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 315,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 316,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 317,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 318,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Bronchite chronique - cas 319,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 320,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 321,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 322,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Sclérose en plaques - cas 323,"troubles visuels, faiblesse, engourdissements",Neurologie
Sclérose en plaques - cas 324,"troubles visuels, faiblesse, engourdissements",Neurologie
Grippe - cas 325,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 326,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 327,"démangeaisons, rougeurs, peau sèche",Dermatologie
Appendicite - cas 328,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hépatite B - cas 329,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 330,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 331,"fatigue, pâleur, essoufflement",Hématologie
Appendicite - cas 332,"douleur abdominale, nausée, fièvre",Chirurgie générale
Bronchite chronique - cas 333,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 334,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hypertension - cas 335,"maux de tête, vertiges, vision floue",Cardiologie
Asthme - cas 336,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 337,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 338,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Diabète de type 2 - cas 339,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hépatite B - cas 340,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Tuberculose - cas 341,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 342,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 343,"troubles visuels, faiblesse, engourdissements",Neurologie
Maladie de Crohn - cas 344,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 345,"fièvre, toux, fatigue, maux de tête",Médecine générale
Bronchite chronique - cas 346,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 347,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 348,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 349,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
