maladie,symptomes,specialite_medicale
Cancer du foie,"toux, jaunisse, maux de tête, vertiges, douleurs articulaires",Neurologie
Cancer de la peau,"maux de tête, éruptions cutanées, douleurs articulaires",Rhumatologie
Glaucome,"douleurs articulaires, fatigue, maux de tête, fièvre, vertiges",Rhumatologie
Hernie,"toux, éruptions cutanées, maux de tête, diarrhée, perte de poids",Chirurgie générale
Hernie,"perte de poids, vertiges, palpitations",Dermatologie
Conjonctivite,"douleur abdominale, palpitations, éruptions cutanées, vertiges, maux de tête",ORL
COVID-19,"fièvre, jaunisse, vomissements, vertiges",ORL
Cancer de la peau,"vomissements, fatigue, douleur abdominale, palpitations",Endocrinologie
Anémie,"fatigue, perte de poids, douleur abdominale",Hématologie
Parkinson,"vertiges, maux de tête, jaunisse, nausées",Gastroentérologie
Otite,"palpitations, douleurs articulaires, essoufflement, diarrhée",Ophtalmologie
Grippe,"palpitations, fièvre, éruptions cutanées, douleur abdominale",Endocrinologie
Cirrhose,"palpitations, diarrhée, douleur abdominale",Pédiatrie
Hypertension,"éruptions cutanées, vertiges, palpitations, douleurs articulaires, toux",Neurologie
Dermatite,"perte de poids, vomissements, fatigue, nausées",Ophtalmologie
Grippe,"douleur abdominale, maux de tête, fatigue",Gastroentérologie
Epilepsie,"douleurs articulaires, éruptions cutanées, nausées, diarrhée",Hématologie
Insuffisance rénale,"éruptions cutanées, diarrhée, toux",Cardiologie
Parkinson,"fièvre, maux de tête, jaunisse, éruptions cutanées, diarrhée",Dermatologie
VIH,"palpitations, vomissements, éruptions cutanées",Endocrinologie
Hépatite,"diarrhée, palpitations, douleur abdominale, essoufflement",Hématologie
Conjonctivite,"perte de poids, diarrhée, toux",Médecine générale
Hypertension,"fatigue, vomissements, vertiges, éruptions cutanées, diarrhée",Endocrinologie
Cataracte,"nausées, fièvre, vertiges, palpitations, douleur abdominale",Hématologie
Arthrose,"toux, douleur abdominale, perte de poids",Dermatologie
Asthme,"perte de poids, diarrhée, vomissements",Cardiologie
Arthrose,"diarrhée, palpitations, éruptions cutanées",Pneumologie
Sclérose,"toux, diarrhée, maux de tête, essoufflement, nausées",Endocrinologie
Appendicite,"fatigue, nausées, palpitations, toux",Ophtalmologie
Cataracte,"essoufflement, nausées, douleur abdominale",Chirurgie générale
Hypertension,"vomissements, toux, nausées, fatigue, palpitations",Rhumatologie
Glaucome,"jaunisse, vertiges, vomissements, perte de poids, maux de tête",Médecine générale
Epilepsie,"vomissements, essoufflement, perte de poids",Gastroentérologie
Zona,"jaunisse, douleur abdominale, perte de poids",Infectiologie
Appendicite,"jaunisse, fièvre, éruptions cutanées",Endocrinologie
Ulcère,"douleur abdominale, fatigue, douleurs articulaires",Infectiologie
Pneumonie,"palpitations, vertiges, fatigue",Cardiologie
Hypertension,"nausées, douleur abdominale, palpitations",Pneumologie
Bronchite,"nausées, jaunisse, douleurs articulaires",Neurologie
Pneumonie,"toux, vertiges, nausées, vomissements, fatigue",Ophtalmologie
Cirrhose,"palpitations, douleurs articulaires, diarrhée, maux de tête, nausées",ORL
Grippe,"maux de tête, nausées, douleur abdominale, fièvre, fatigue",Dermatologie
Migraine,"diarrhée, fièvre, nausées",Infectiologie
Hypertension,"fièvre, perte de poids, maux de tête, fatigue",Infectiologie
Asthme,"douleurs articulaires, maux de tête, essoufflement",Pneumologie
Ulcère,"fatigue, vertiges, perte de poids, diarrhée",Dermatologie
Migraine,"fatigue, vertiges, essoufflement, palpitations, douleurs articulaires",Gastroentérologie
Obésité,"vomissements, fièvre, maux de tête",Hématologie
Asthme,"toux, jaunisse, palpitations, diarrhée, vertiges",Rhumatologie
Migraine,"jaunisse, nausées, éruptions cutanées, diarrhée",Médecine générale
Sclérose,"fièvre, palpitations, vertiges",Gastroentérologie
Anémie,"palpitations, douleur abdominale, douleurs articulaires, fatigue",Oncologie
Epilepsie,"fatigue, maux de tête, nausées",Chirurgie générale
Alzheimer,"palpitations, toux, jaunisse, maux de tête",Gastroentérologie
Obésité,"perte de poids, douleur abdominale, essoufflement",Gastroentérologie
Cataracte,"essoufflement, nausées, fièvre, douleur abdominale",Ophtalmologie
Appendicite,"maux de tête, éruptions cutanées, fatigue, fièvre",Ophtalmologie
Sclérose,"diarrhée, perte de poids, vomissements, jaunisse",Chirurgie générale
Dermatite,"jaunisse, vomissements, diarrhée",Dermatologie
Glaucome,"palpitations, fièvre, essoufflement, nausées, fatigue",Infectiologie
Anémie,"éruptions cutanées, perte de poids, palpitations, vertiges",Rhumatologie
Arthrose,"maux de tête, perte de poids, jaunisse, fièvre, essoufflement",Médecine générale
Insuffisance rénale,"vertiges, fatigue, perte de poids, douleurs articulaires",Ophtalmologie
Cirrhose,"palpitations, fatigue, jaunisse, douleur abdominale",Ophtalmologie
Arthrose,"palpitations, douleurs articulaires, maux de tête, essoufflement",Médecine générale
Arthrose,"nausées, palpitations, vertiges, vomissements, douleur abdominale",Pédiatrie
Arthrose,"fatigue, palpitations, nausées",Ophtalmologie
Paludisme,"fièvre, jaunisse, essoufflement",Médecine générale
Conjonctivite,"fièvre, nausées, diarrhée, douleurs articulaires, douleur abdominale",Pédiatrie
Paludisme,"fièvre, douleur abdominale, jaunisse, palpitations",ORL
Crohn,"diarrhée, maux de tête, palpitations",Rhumatologie
Cancer de la peau,"vertiges, toux, fièvre, vomissements, perte de poids",Dermatologie
COVID-19,"diarrhée, jaunisse, maux de tête, fatigue, toux",Gastroentérologie
Pneumonie,"nausées, vomissements, éruptions cutanées",Neurologie
Insuffisance rénale,"vertiges, fatigue, jaunisse, toux",Médecine générale
VIH,"perte de poids, vomissements, éruptions cutanées, fièvre",Chirurgie générale
Sinusite,"fatigue, douleurs articulaires, essoufflement, nausées, vomissements",Ophtalmologie
Otite,"fatigue, diarrhée, éruptions cutanées, vomissements",Médecine générale
VIH,"douleur abdominale, nausées, vertiges, fatigue",Infectiologie
Thyroïdite,"vertiges, nausées, éruptions cutanées, palpitations",Rhumatologie
Dermatite,"diarrhée, douleur abdominale, toux, perte de poids",Chirurgie générale
Epilepsie,"éruptions cutanées, palpitations, toux",Gastroentérologie
Cancer de la peau,"fièvre, nausées, vomissements",Médecine générale
Cirrhose,"douleurs articulaires, éruptions cutanées, douleur abdominale",Infectiologie
Obésité,"douleurs articulaires, essoufflement, perte de poids",Cardiologie
Grippe,"toux, perte de poids, palpitations, nausées, fièvre",Infectiologie
Hernie,"jaunisse, douleurs articulaires, palpitations, perte de poids, fièvre",ORL
Appendicite,"jaunisse, essoufflement, douleur abdominale, nausées",Gastroentérologie
Cataracte,"essoufflement, toux, vertiges",Dermatologie
Tuberculose,"douleurs articulaires, éruptions cutanées, douleur abdominale, vomissements, jaunisse",Endocrinologie
Goutte,"maux de tête, palpitations, fatigue, douleurs articulaires, toux",Chirurgie générale
Epilepsie,"diarrhée, vertiges, éruptions cutanées, vomissements",Cardiologie
Epilepsie,"maux de tête, vomissements, toux, fatigue, diarrhée",Cardiologie
Diabète,"diarrhée, vomissements, essoufflement, toux, perte de poids",Gastroentérologie
Alzheimer,"fièvre, maux de tête, perte de poids",ORL
Cancer du sein,"éruptions cutanées, vertiges, toux, douleur abdominale",Infectiologie
Hépatite,"nausées, perte de poids, jaunisse, toux",Infectiologie
COVID-19,"vertiges, éruptions cutanées, perte de poids, douleur abdominale",Dermatologie
Hypertension,"diarrhée, vomissements, palpitations, éruptions cutanées, douleur abdominale",Médecine générale
Arthrose,"éruptions cutanées, douleur abdominale, douleurs articulaires",Médecine générale
Ulcère,"toux, nausées, vomissements, palpitations, jaunisse",Dermatologie
Conjonctivite,"douleur abdominale, perte de poids, fièvre",Neurologie
Grippe,"fatigue, essoufflement, fièvre, diarrhée",Neurologie
Dermatite,"perte de poids, maux de tête, vomissements, jaunisse, fièvre",Cardiologie
Sclérose,"éruptions cutanées, nausées, toux, perte de poids, palpitations",Rhumatologie
Parkinson,"éruptions cutanées, jaunisse, nausées, vomissements, douleurs articulaires",Hématologie
Conjonctivite,"perte de poids, maux de tête, fatigue",Dermatologie
Arthrose,"perte de poids, vertiges, douleurs articulaires",ORL
Cancer du foie,"douleur abdominale, nausées, éruptions cutanées, douleurs articulaires, diarrhée",Cardiologie
Diabète,"nausées, douleur abdominale, toux, éruptions cutanées, vomissements",Pédiatrie
Sclérose,"fatigue, perte de poids, vomissements",Oncologie
Migraine,"essoufflement, perte de poids, nausées",Rhumatologie
Glaucome,"douleur abdominale, perte de poids, fièvre, vertiges, palpitations",Ophtalmologie
Pneumonie,"palpitations, vomissements, fatigue",Pneumologie
Conjonctivite,"vomissements, jaunisse, perte de poids, vertiges",Pneumologie
Dermatite,"fatigue, toux, vomissements, essoufflement",Médecine générale
Grippe,"maux de tête, diarrhée, palpitations",Oncologie
Asthme,"fatigue, fièvre, essoufflement, perte de poids",Ophtalmologie
Conjonctivite,"éruptions cutanées, perte de poids, maux de tête, fièvre, nausées",Pédiatrie
Sclérose,"vertiges, toux, éruptions cutanées, vomissements",Ophtalmologie
Pneumonie,"vertiges, fatigue, jaunisse, douleur abdominale",ORL
Sinusite,"fièvre, palpitations, essoufflement",Pédiatrie
Asthme,"essoufflement, éruptions cutanées, fatigue, jaunisse, fièvre",Pneumologie
Psoriasis,"toux, essoufflement, diarrhée",ORL
Sinusite,"douleurs articulaires, palpitations, essoufflement, nausées",Rhumatologie
Asthme,"vomissements, douleurs articulaires, toux",ORL
Cancer du foie,"perte de poids, douleur abdominale, douleurs articulaires, fièvre, vomissements",Cardiologie
Migraine,"essoufflement, fièvre, douleurs articulaires, perte de poids",Médecine générale
Alzheimer,"douleurs articulaires, diarrhée, douleur abdominale",Médecine générale
Cancer du sein,"fatigue, douleur abdominale, vomissements, éruptions cutanées",Rhumatologie
Arthrite,"perte de poids, jaunisse, fatigue, maux de tête",ORL
Arthrose,"vomissements, douleurs articulaires, douleur abdominale, vertiges",Neurologie
Colite,"diarrhée, vertiges, essoufflement",Neurologie
VIH,"nausées, douleurs articulaires, palpitations, diarrhée, fatigue",Endocrinologie
Appendicite,"nausées, douleurs articulaires, perte de poids",Pneumologie
Lupus,"éruptions cutanées, fatigue, toux, nausées, jaunisse",Pédiatrie
Méningite,"nausées, essoufflement, diarrhée, vertiges, éruptions cutanées",Rhumatologie
Glaucome,"essoufflement, douleurs articulaires, éruptions cutanées",Pédiatrie
Diabète,"diarrhée, vertiges, essoufflement, maux de tête",Neurologie
Sinusite,"diarrhée, vertiges, douleur abdominale, nausées, fatigue",Neurologie
COVID-19,"éruptions cutanées, palpitations, fièvre, fatigue",Pédiatrie
Arthrite,"essoufflement, perte de poids, fatigue, vertiges, nausées",Cardiologie
Cancer du sein,"perte de poids, douleurs articulaires, essoufflement",Pneumologie
Bronchite,"éruptions cutanées, douleur abdominale, diarrhée",Ophtalmologie
Sclérose,"toux, maux de tête, palpitations, fatigue",Pédiatrie
Méningite,"fièvre, maux de tête, diarrhée, perte de poids, jaunisse",Dermatologie
Diabète,"fièvre, nausées, douleur abdominale, diarrhée, fatigue",Ophtalmologie
Lupus,"essoufflement, toux, vertiges, maux de tête",Gastroentérologie
Bronchite,"diarrhée, palpitations, douleur abdominale, nausées",Gastroentérologie
Glaucome,"éruptions cutanées, maux de tête, essoufflement, jaunisse, vomissements",ORL
Thyroïdite,"maux de tête, vomissements, palpitations",Chirurgie générale
VIH,"douleur abdominale, fièvre, vomissements, jaunisse, fatigue",Dermatologie
Otite,"vomissements, maux de tête, perte de poids",Hématologie
Cancer du foie,"nausées, diarrhée, maux de tête, douleur abdominale",Rhumatologie
Insuffisance rénale,"vomissements, jaunisse, diarrhée, fatigue",Pneumologie
Appendicite,"douleurs articulaires, douleur abdominale, toux, fièvre, jaunisse",Rhumatologie
Cirrhose,"douleurs articulaires, jaunisse, diarrhée",ORL
VIH,"éruptions cutanées, fièvre, douleurs articulaires",Pneumologie
Obésité,"éruptions cutanées, maux de tête, jaunisse",Pédiatrie
Grippe,"diarrhée, nausées, éruptions cutanées, perte de poids, fièvre",Ophtalmologie
Tuberculose,"douleurs articulaires, toux, palpitations, vertiges, éruptions cutanées",Dermatologie
Dermatite,"fatigue, douleur abdominale, fièvre, vomissements, jaunisse",Endocrinologie
Paludisme,"éruptions cutanées, douleurs articulaires, toux, jaunisse, diarrhée",Gastroentérologie
Cancer du sein,"fatigue, vertiges, fièvre, jaunisse, diarrhée",Ophtalmologie
Pneumonie,"toux, nausées, diarrhée",Médecine générale
Lupus,"douleur abdominale, toux, maux de tête",Dermatologie
Hépatite,"fatigue, palpitations, vomissements",Neurologie
Otite,"jaunisse, palpitations, maux de tête, éruptions cutanées, vertiges",Chirurgie générale
Thyroïdite,"essoufflement, douleur abdominale, vomissements",Cardiologie
Obésité,"douleur abdominale, nausées, douleurs articulaires, fièvre, toux",Endocrinologie
Cirrhose,"maux de tête, fatigue, toux, fièvre",Neurologie
Psoriasis,"douleur abdominale, maux de tête, fièvre",Ophtalmologie
Hernie,"vertiges, jaunisse, perte de poids",Médecine générale
Arthrite,"perte de poids, diarrhée, jaunisse, essoufflement",Endocrinologie
Hépatite,"perte de poids, fièvre, jaunisse, vertiges",Cardiologie
Ulcère,"essoufflement, maux de tête, jaunisse, vomissements, toux",Gastroentérologie
Colite,"palpitations, vomissements, essoufflement, diarrhée, fatigue",Pédiatrie
Thyroïdite,"vomissements, diarrhée, éruptions cutanées",Médecine générale
Bronchite,"jaunisse, diarrhée, vomissements",Cardiologie
Gastrite,"perte de poids, vomissements, douleur abdominale, éruptions cutanées",Rhumatologie
Sclérose,"maux de tête, essoufflement, douleurs articulaires",Médecine générale
Cirrhose,"vomissements, toux, nausées, maux de tête, fatigue",Infectiologie
Thyroïdite,"éruptions cutanées, douleurs articulaires, fièvre, nausées, perte de poids",Neurologie
Cirrhose,"perte de poids, nausées, fièvre, fatigue",Rhumatologie
Sclérose,"essoufflement, fièvre, palpitations, fatigue",Endocrinologie
Psoriasis,"fatigue, vertiges, palpitations, fièvre",Endocrinologie
Paludisme,"perte de poids, nausées, toux, maux de tête",Oncologie
Goutte,"éruptions cutanées, maux de tête, perte de poids, vertiges",Médecine générale
Cancer du foie,"essoufflement, fatigue, toux, éruptions cutanées, nausées",Dermatologie
Epilepsie,"douleurs articulaires, diarrhée, douleur abdominale",Oncologie
Epilepsie,"perte de poids, essoufflement, palpitations, fatigue",Hématologie
Asthme,"douleur abdominale, fatigue, toux, douleurs articulaires, vertiges",Rhumatologie
Goutte,"essoufflement, jaunisse, douleur abdominale, nausées",Oncologie
Parkinson,"diarrhée, palpitations, douleur abdominale, fièvre",Pédiatrie
Arthrite,"douleurs articulaires, toux, jaunisse",Médecine générale
Insuffisance rénale,"essoufflement, perte de poids, vertiges, vomissements",Rhumatologie
Goutte,"palpitations, douleurs articulaires, fatigue, douleur abdominale, vomissements",Gastroentérologie
Otite,"douleur abdominale, maux de tête, fatigue",Gastroentérologie
Zona,"vertiges, éruptions cutanées, douleurs articulaires",Infectiologie
Migraine,"douleurs articulaires, nausées, fièvre",Cardiologie
Otite,"vomissements, douleur abdominale, essoufflement, toux, nausées",Chirurgie générale
Glaucome,"essoufflement, perte de poids, fièvre, palpitations, fatigue",Infectiologie
Tuberculose,"diarrhée, douleur abdominale, maux de tête, jaunisse, essoufflement",Neurologie
Colite,"éruptions cutanées, douleurs articulaires, vomissements",Cardiologie
Sinusite,"douleur abdominale, fatigue, fièvre, douleurs articulaires, diarrhée",Gastroentérologie
Bronchite,"fatigue, diarrhée, vomissements",Endocrinologie
Ulcère,"éruptions cutanées, essoufflement, toux, douleur abdominale, douleurs articulaires",Ophtalmologie
Hernie,"douleurs articulaires, vomissements, nausées",Hématologie
Cancer de la peau,"vomissements, jaunisse, éruptions cutanées",Endocrinologie
Gastrite,"nausées, maux de tête, éruptions cutanées, fièvre, douleur abdominale",Ophtalmologie
Thyroïdite,"diarrhée, nausées, vertiges",Hématologie
Otite,"douleur abdominale, jaunisse, douleurs articulaires, éruptions cutanées, fatigue",ORL
Conjonctivite,"jaunisse, douleurs articulaires, vomissements, diarrhée, fièvre",Dermatologie
Otite,"maux de tête, fièvre, perte de poids, vertiges, essoufflement",Oncologie
Paludisme,"vomissements, maux de tête, essoufflement, nausées",Pédiatrie
Psoriasis,"éruptions cutanées, palpitations, vomissements, essoufflement, jaunisse",Ophtalmologie
Parkinson,"douleur abdominale, essoufflement, vomissements",Pédiatrie
Cataracte,"vertiges, douleurs articulaires, vomissements, toux",Rhumatologie
Crohn,"fièvre, fatigue, éruptions cutanées, palpitations",ORL
Colite,"douleur abdominale, vomissements, toux",Gastroentérologie
VIH,"palpitations, fièvre, nausées",Infectiologie
Cancer de la peau,"fièvre, vomissements, vertiges, fatigue",Médecine générale
Paludisme,"essoufflement, maux de tête, fatigue, palpitations, douleurs articulaires",Médecine générale
Dermatite,"palpitations, nausées, fièvre",Rhumatologie
Cirrhose,"fièvre, toux, vertiges, maux de tête, perte de poids",Dermatologie
COVID-19,"éruptions cutanées, perte de poids, fièvre",ORL
Crohn,"essoufflement, nausées, vomissements",Hématologie
Bronchite,"éruptions cutanées, fatigue, douleurs articulaires, diarrhée, maux de tête",Chirurgie générale
Psoriasis,"maux de tête, jaunisse, éruptions cutanées, essoufflement",Cardiologie
Bronchite,"diarrhée, jaunisse, fatigue, palpitations, toux",ORL
Diabète,"vomissements, essoufflement, douleurs articulaires, éruptions cutanées",Rhumatologie
Gastrite,"vomissements, essoufflement, éruptions cutanées, fatigue, maux de tête",Neurologie
Goutte,"vomissements, douleur abdominale, palpitations, maux de tête",Endocrinologie
Cancer du foie,"fatigue, maux de tête, nausées, vertiges",Dermatologie
COVID-19,"vertiges, éruptions cutanées, toux, douleurs articulaires, maux de tête",Chirurgie générale
Insuffisance rénale,"palpitations, fièvre, douleur abdominale, fatigue, toux",Dermatologie
Appendicite,"jaunisse, diarrhée, vertiges",Chirurgie générale
VIH,"nausées, vertiges, perte de poids, maux de tête",Infectiologie
Grippe,"jaunisse, fatigue, diarrhée, fièvre, maux de tête",Endocrinologie
Appendicite,"douleurs articulaires, toux, fatigue, fièvre, éruptions cutanées",ORL
Cancer de la peau,"vertiges, toux, douleur abdominale, éruptions cutanées, palpitations",ORL
Glaucome,"palpitations, diarrhée, éruptions cutanées, vomissements, jaunisse",Chirurgie générale
VIH,"éruptions cutanées, diarrhée, douleurs articulaires, vertiges",Ophtalmologie
Cancer du foie,"fatigue, essoufflement, perte de poids, toux, fièvre",Endocrinologie
Zona,"maux de tête, fatigue, nausées, perte de poids, toux",Gastroentérologie
Conjonctivite,"perte de poids, maux de tête, éruptions cutanées, vomissements, essoufflement",Dermatologie
Bronchite,"douleur abdominale, fatigue, perte de poids",Infectiologie
Anémie,"fatigue, toux, nausées, vertiges, perte de poids",Pneumologie
Otite,"maux de tête, vertiges, éruptions cutanées, fatigue",Oncologie
Epilepsie,"jaunisse, palpitations, éruptions cutanées, vertiges, vomissements",Oncologie
Asthme,"fatigue, douleurs articulaires, jaunisse, perte de poids, éruptions cutanées",Infectiologie
Sinusite,"essoufflement, nausées, douleurs articulaires",Médecine générale
Otite,"nausées, douleurs articulaires, fatigue",Oncologie
Psoriasis,"vertiges, éruptions cutanées, palpitations",Rhumatologie
Paludisme,"perte de poids, palpitations, diarrhée, douleurs articulaires",Chirurgie générale
Obésité,"perte de poids, vertiges, fatigue",Dermatologie
Conjonctivite,"palpitations, essoufflement, nausées",ORL
Goutte,"vertiges, essoufflement, nausées, maux de tête, éruptions cutanées",Hématologie
